ꀀ | Chinese: 1. pron. 我的（引述式） | 2. v. (1) 有；存在（多指房屋或容器中有某物） (2) 居住 (3) 睡觉
ꀀ ꀕ | Chinese: 1. pron. 我自己（引述式）
ꀘ | Chinese: 1. v. (1) 读；念 (2) 祭祀 (3) 散开（使动） | 2. n. 祭祀活动
ꀘ ꂾ | Chinese: 1. n. 祭师；祭司（兼职于知识分子、法官和宗教职业者等） | 2. v. 做法事
ꀘ ꆹ ꌋ ꈤ ꋋ | Chinese: 1. adj. 东零西散
ꀘ ꆹ ꌋ ꈤ ꏽ | Chinese: 1. adj. 东零西散
ꀙ | Chinese: 1. n. 笔 | 2. v. 划破；伤（使动） | 3. adj. （整）严重；（整）惨
ꀙ ꀋ ꐥ | Chinese: 1. adv. 无缘无故；没有用
ꀙ ꀬ | Chinese: 1. n. 布（文学语）
ꀙ ꄀ | Chinese: 1. n. 银锭
ꀙ ꄲ | Chinese: 1. n. 神扇（毕摩专用）
ꀙ ꋇ | Chinese: 1. n. 白族
ꀙ ꐎ | Chinese: 1. n. 粉笔
ꀛ ꐂ | Chinese: 1. v. 跳舞
ꀜ | Chinese: 1. v. (1) 踢 (2) 蹦跳 (3) 溅（跳；弹） (4) （腹）泻
ꀜ ꅐ | Chinese: 1. v. (1) 报废；出废品 (2) 不争气
ꀜ ꆽ ꐂ ꆽ | Chinese: 1. v. 蹦来蹦去
ꀜ ꋊ | Chinese: 1. v. 剔除；废除
ꀜ ꐆ | Chinese: 1. v. 破坏（使动）；拆散
ꀜ ꐞ | Chinese: 1. v. 分裂
ꀜ ꐡ | Chinese: 1. v. (1) 解体 (2) 倒塌；垮（自动）
ꀞ | Chinese: 1. adj. 公；雄 | 2. v. (1) 办 (2) 吐 | 3. att. …吧？（表示商量的语气）；…吧（表示主观的想法）
ꀞ ꄂ | Chinese: 1. n. 单身汉 | 2. adj. 唯一
ꀞ ꍗ | Chinese: 1. n. （木或皮制的）酒杯
ꀞ ꍸ ꃀ | Chinese: 1. n. 鳏夫
ꀞ ꎂ | Chinese: 1. adj. 笔直性子；直爽
ꀞ ꐕ | Chinese: 1. adv. 罢了；算了；拉倒
ꀟ ꁸ | Chinese: 1. adj. 矮胖；短粗
ꀟ ꈓ | Chinese: 1. adj. 矮胖
ꀠ | Chinese: 1. v. (1) 说；告诉；通知 (2) 交换 (3) 伤害；责怪；反对 | 2. n. 蛙（文学语）
ꀠ ꀋ ꄿ （ꀐ | Chinese: 1. adv. 难为（你）；不好意思
ꀠ ꂘ | Chinese: 1. v. 教育；批评
ꀠ ꃐ | Chinese: 1. adj. 宽（指板类、树叶等）
ꀠ ꃹ | Chinese: 1. adj. 满满的（多指饮食）
ꀠ ꃺ | Chinese: 1. n. 獾猪
ꀠ ꄬ | Chinese: 1. adj. 矮而腹大
ꀠ ꄲ ꈨ | Chinese: 1. adj. 身强力壮
ꀠ ꅪ | Chinese: 1. adj. 裸体
ꀠ ꆺ | Chinese: 1. adj. 笨拙
ꀠ ꆿ | Chinese: 1. n. 白杨树；杨柳树
ꀠ ꇉ ꄏ | Chinese: 1. adv. 中等
ꀠ ꇰ ꀠ ꑳ | Chinese: 1. adj. 笨头笨脑
ꀠ ꈾ | Chinese: 1. adj. 疥疮
ꀠ ꍹ | Chinese: 1. adj. 虚胖无力
ꀠ ꏲ | Chinese: 1. v. 招呼
ꀠ ꐦ | Chinese: 1. adj. (1) 粗 (2) 大腹便便
ꀠ ꑭ ꀠ ꇇ | Chinese: 1. adj. 笨手笨脚
ꀡ ꆃ | Chinese: 1. n. 稀泥；泥泞 | 2. adj. 稀烂；糊状
ꀡ ꆱ | Chinese: 1. adj. 肚子大
ꀡ ꊇ ꀠ ꊉ | Chinese: 1. adj. 臃肿（衣服穿得过厚）
ꀡ ꌩ ꀟ ꆂ | Chinese: 1. adj. 泥泞
ꀣ | Chinese: 1. v. (1) 裂开（自动） (2) （在裤、裙上）配色 | 2. cl. 个（父子俩）
ꀢ | Chinese: 1. cl. 个（父子俩）
ꀣ ꈜ | Chinese: 1. n. 裂缝；裂痕
ꀤ | Chinese: 1. cl. 个（爷儿）（配六个人的时候专用）
ꀥ | Chinese: 1. v. (1) 跑 (2) 争论；辩论 | 2. cl. 个（父子）
ꀥ ꄖ | Chinese: 1. n. 背篼
ꀥ ꋍ | Chinese: 1. n. 添补的
ꀥ ꋓ | Chinese: 1. v. 赛跑
ꀥ ꑣ | Chinese: 1. v. 抵赖；不认账
ꀦ ꏢ | Chinese: 1. v. 搜查；搜索
ꀧ | Chinese: 1. v. (1) 说（梦话） (2) 担保；保证 (3) 搜查 (4) 爆
ꀧ ꇌ ꀕ | Chinese: 1. adv. 迅速而严重（多指病）
ꀧ ꌋ ꃅ | Chinese: 1. v. 保护
ꀨ | Chinese: 1. n. (1) 首位；第一 (2) 本原；源头 (3) 本（钱） (4) 稠；所有液体里面的固体的总称 | 2. v. (1) 碎；磨 (2) 看（使动）；给看（使动） (3) 投奔；投靠 (4) 滚（使动） (5) 擀
ꀨ ꀕ ꊱ ꀕ | Chinese: 1. adj. 和睦；整整齐齐（多指一家人平安无事）
ꀨ ꁘ | Chinese: 1. adj. 褴褛
ꀨ ꁘ ꒉ ꏂ ꈘ | Chinese: 1. adj. 不文雅（吃相）
ꀨ ꃝ | Chinese: 1. adj. 干涩
ꀨ ꄂ | Chinese: 1. n. 板凳；凳子
ꀨ ꄗ ꀨ ꆽ | Chinese: 1. adj. 厚而粗糙
ꀨ ꄹ | Chinese: 1. adj. 麻木
ꀨ ꄹ ꇂ ꍠ | Chinese: 1. adj. 淡而无味
ꀨ ꅤ ꇂ ꈍ | Chinese: 1. adj. 粗糙
ꀨ ꆐ | Chinese: 1. adj. 松软；软和
ꀨ ꆐ ꍹ | Chinese: 1. adj. 软绵感
ꀨ ꆺ | Chinese: 1. n. 篮子；（小）竹篓
ꀨ ꇊ ꇽ ꆽ | Chinese: 1. adj. 稠（强式）
ꀨ ꇍ ꌆ ꈍ | Chinese: 1. adj. 笨拙（指说话）
ꀨ ꊰ | Chinese: 1. n. 本钱；基金
ꀨ ꊰ ꎭ ꈯ | Chinese: 1. adj. （保管得）有条不紊；整洁
ꀨ ꊰ ꐔ | Chinese: 1. v. 亏本
ꀨ ꊱ | Chinese: 1. v. 弄齐；理齐；整齐
ꀨ ꌦ ꇂ ꅤ | Chinese: 1. adj. 形状不美观
ꀨ ꍯ | Chinese: 1. n. 路费
ꀨ ꎹ | Chinese: 1. v. 照顾；照料
ꀬ | Chinese: 1. adj. (1) 敢 (2) 慷慨；大方
ꀬ ꅑ | Chinese: 1. adj. (1) 有胆量 (2) 慷慨；大方
ꀬ ꇓ ꏍ ꇉ | Chinese: 1. v. 交错；错综复杂；乱纷纷（指人）
ꀭ ꄂ | Chinese: 1. v. 夸奖
ꀭ ꄮ | Chinese: 1. n. 布拖（地名）
ꀭ ꉂ | Chinese: 1. adj. 凸
ꀭ ꊤ ꆜ | Chinese: 1. adv. 一下子；拔掉（指速度快）
ꀭ ꌦ ꀯ ꃴ | Chinese: 1. adj. 心神不定
ꀭ ꌾ | Chinese: 1. adj. 犟；个性强
ꀮ | Chinese: 1. n. (1) 公；雄（指雄性禽类） (2) 刺猬（豪猪的总称） | 2. v. (1) 补（钱）；找（钱） (2) 表扬 (3) 拜见（用于婴儿拜见祖父、祖母） | 3. cl. 桶（水）；朵（花）；串儿
ꀭ | Chinese: 1. cl. 桶（水）；朵（花）；串儿
ꀮ ꄑ | Chinese: 1. v. 表扬
ꀮ ꇐ | Chinese: 1. n. 家具
ꀮ ꊛ | Chinese: 1. n. 烟嘴
ꀯ | Chinese: 1. v. (1) 搓 (2) 缠 (3) 搅拌（炒面）；调和 | 2. adj. （牲畜）不生崽；（羊）不下崽
ꀯ ꃹ | Chinese: 1. n. 锭子；纺锭
ꀯ ꃹ ꏦ ꂷ | Chinese: 1. n. (1) 纺线坠圈 (2) 膝盖骨
ꀯ ꆫ | Chinese: 1. n. (1) 泡（泛指） (2) 米花
ꀯ ꐛ | Chinese: 1. adj. （树木等）腐朽（程度较轻）
ꀯ ꑳ ꋇ | Chinese: 1. n. 布依族
ꀰ ꎓ ꌍ ꑷ | Chinese: 1. adj. 闹哄哄
ꀰ ꏢ | Chinese: 1. v. 搞；做；经营
ꀱ | Chinese: 1. n. 模型；毛坯（磨子、犁等木、石工具的） | 2. v. (1) 放（高利贷） (2) 回；转 (3) 还 (4) 翻 (5) 重新 (6) 报（恩）；报答 | 3. adj. 经（用）；耐用
ꀱ ꆱ | Chinese: 1. n. (1) 气球 (2) 羊皮口袋（多用于装酒）
ꀱ ꆽ ꃅ | Chinese: 1. v. 翻转；反过来
ꀱ ꉅ | Chinese: 1. v. 交配（禽类）
ꀱ ꋓ | Chinese: 1. adj. 多而整齐
ꀱ ꑐ ꀕ | Chinese: 1. adj. 纷飞
ꀲ | Chinese: 1. n. 女性生殖器（俗称）
ꀳ | Chinese: 1. v. 背
ꀳ ꋩ ꌺ | Chinese: 1. adj. 短小（多指动物尾巴脚等）
ꀴ | Chinese: 1. v. （鹰）叫；（山羊）惊叫
ꀴ ꅿ | Chinese: 1. adj. 油香味
ꀴ ꇖ ꀕ | Chinese: 1. adj. 结实有劲
ꀴ ꊪ | Chinese: 1. n. 疮；疖子
ꀵ | Chinese: 1. v. (1) （带）有 (2) 背 (3) 赔偿；赔退
ꀵ ꇗ ꌧ ꐛ | Chinese: 1. adj. 绞成一团
ꀷ | Chinese: 1. v. 拉稀（专指婴儿）；（婴儿）大便
ꀸ | Chinese: 1. v. (1) 呕吐 (2) 诈骗；欺骗（多指经济上）
ꀹ ꄻ | Chinese: 1. v. 开创；开辟
ꀹ ꑳ | Chinese: 1. adj. 有礼貌；讲礼貌
ꀺ | Chinese: 1. adj. (1) 精美；精巧 (2) 有礼貌；文明 | 2. v. (1) 放（水） (2) 剖 (3) 开辟
ꀺ ꇐ | Chinese: 1. adj. 风格；文明
ꀻ | Chinese: 1. n. (1) 板 (2) 瓦板 | 2. cl. 张；块；片
ꀻ ꊪ | Chinese: 1. n. 压条（横压瓦板的）
ꀻ ꎆ | Chinese: 1. v. 发展；进步
ꀻ ꑳ | Chinese: 1. n. 瓦板房
ꀽ | Chinese: 1. adj. 清楚 | 2. v. 突然出现 | 3. n. 疟疾
ꀽ ꋌ | Chinese: 1. n. 治疟疾的药
ꀿ | Chinese: 1. n. 父亲（文学语） | 2. v. 出；生；孵出
ꀿ ꃀ | Chinese: 1. n. 父母；双亲
ꀿ ꃅ | Chinese: 1. n. 娘家
ꀿ ꃶ | Chinese: 1. n. (1) 伯伯；叔叔；姨夫（间接称谓） (2) 继父
ꀿ ꃶ ꀁ ꑳ | Chinese: 1. n. 堂弟（男称）
ꀿ ꃶ ꂘ ꊨ | Chinese: 1. n. 堂兄弟（女称）
ꀿ ꃶ ꃴ ꃀ | Chinese: 1. n. 堂姐（女称）
ꀿ ꃶ ꅩ ꃀ | Chinese: 1. n. 堂姐妹（男称）
ꀿ ꃶ ꑌ ꂵ | Chinese: 1. n. 堂妹（女称）
ꀿ ꏅ | Chinese: 1. n. 婴儿
ꀿ ꏾ | Chinese: 1. n. 牛耳大黄（草药名）
ꀿ ꑳ | Chinese: 1. n. 胎盘
ꀿ ꑳ ꆹ ꂫ | Chinese: 1. n. 产褥症
ꁀ ꁱ | Chinese: 1. n. 毛布宽度
ꁀ ꁻ | Chinese: 1. n. 月琴
ꁀ ꄏ ꇉ | Chinese: 1. n. 小口袋
ꁀ ꎼ | Chinese: 1. n. 口袋
ꁀ ꎿ | Chinese: 1. n. 大麻袋
ꁁ ꀕ ꉌ | Chinese: 1. v. 妨碍；干扰
ꁁ ꁒ | Chinese: 1. v. 剥削
ꁁ ꃴ | Chinese: 1. n. 蓝色毛料
ꁁ ꆈ ꃹ | Chinese: 1. n. 乌青块（青疙瘩）
ꁁ ꆓ | Chinese: 1. adj. 柔软
ꁁ ꋋ | Chinese: 1. n. 布条；布片
ꁁ ꌕ | Chinese: 1. n. 岩蒜
ꁁ ꎎ | Chinese: 1. adj. 歪斜
ꁁ ꎓ ꁁ ꉢ | Chinese: 1. adj. 孤单；失落；寂寞（失去部分伙伴和亲人）
ꁁ ꑷ | Chinese: 1. adj. 偏；斜
ꁂ ꄠ ꀕ | Chinese: 1. adj. （湿）极
ꁂ ꆠ | Chinese: 1. n. （用来点火的）布；灰火绳
ꁂ ꆢ ꁁ ꆣ | Chinese: 1. adj. 轻浮；不稳重
ꁅ | Chinese: 1. cl. 只
ꁆ | Chinese: 1. v. (1) 掰；留下 (2) 派遣 | 2. cl. (1) 花瓣（多指植物叶、花等） (2) 只（多用于指四肢） (3) 半
ꁆ ꁉ | Chinese: 1. n. （指部分用具的主干）器物的身体（多指锄斧）
ꁈ | Chinese: 1. n. (1) 颜料 (2) 靛蓝（蓝靛）；靛青 (3) 蓼蓝 (4) 靛蓝 (5) 痣 (6) 办法 | 2. v. (1) 让（稍带强迫意味） (2) 扇（火） (3) （鸡）交配 (4) 逃 | 3. cl. 批
ꁇ | Chinese: 1. cl. 批
ꁈ ꁧ | Chinese: 1. n. 旗子；旗帜
ꁈ ꆸ | Chinese: 1. n. 囤子；圆箩
ꁈ ꏂ ꁈ ꇭ | Chinese: 1. v. 想方设法
ꁉ | Chinese: 1. v. (1) 开；敞开 (2) 放
ꁉ ꍰ | Chinese: 1. n. 灰尘；渣滓
ꁊ | Chinese: 1. n. 香蒲；蓑草 | 2. v. 撒开 | 3. cl. 次；趟
ꁊ ꈴ | Chinese: 1. v. 普及；撒遍
ꁋ | Chinese: 1. v. (1) 溢出 (2) 拴（使动）
ꁋ ꈤ | Chinese: 1. adj. (1) （粮食）干而净 (2) 干燥（指雨后路、晒坝）
ꁋ ꈾ | Chinese: 1. adj. 卖力
ꁋ ꌙ | Chinese: 1. adj. 苍白
ꁌ | Chinese: 1. n. (1) 价格 (2) 值（多少钱） | 2. v. (1) 开（路） (2) 喷（水） (3) 解（开）
ꁌ ꀖ | Chinese: 1. v. 揭开
ꁌ ꁨ | Chinese: 1. adj. 值得；合算
ꁌ ꄝ | Chinese: 1. v. 解放
ꁌ ꅍ | Chinese: 1. n. 价值
ꁌ ꅿ ꍫ ꅿ | Chinese: 1. adj. 腥臭
ꁌ ꇐ ꈤ | Chinese: 1. adj. 宝贵；珍贵
ꁌ ꏤ | Chinese: 1. n. 价格；价钱
ꁌ ꐘ | Chinese: 1. n. 普格（地名）
ꁌ ꐥ | Chinese: 1. adj. （价格）贵；有价值
ꁌ ꒃ | Chinese: 1. adj. 价廉；便宜
ꁌ ꒉ | Chinese: 1. v. 尊重；敬重；崇敬 | 2. n. 爱戴
ꁍ | Chinese: 1. n. (1) 大铁锅 (2) 祖田；田地 (3) 尾部 (4) 祖先 (5) 濮（凉山古代民族名） | 2. cl. (1) 锅（饭菜） (2) 丘（稻田）；块 | 3. v. 拴（牛马等） | 4. adj. 糊涂
ꁍ ꁈ | Chinese: 1. n. 祖先；祖宗
ꁍ ꂮ | Chinese: 1. n. 锅烟子
ꁍ ꃷ | Chinese: 1. n. 粪蚁
ꁍ ꇑ ꀠ ꇁ | Chinese: 1. v. 说话不明确；翻来覆去
ꁍ ꇑ ꄂ ꆹ | Chinese: 1. adj. 颠三倒四；语无伦次
ꁍ ꇑ ꎴ ꇉ | Chinese: 1. adj. 糊里糊涂
ꁍ ꇑ ꑴ ꆺ | Chinese: 1. adj. 徘徊不前
ꁍ ꇩ | Chinese: 1. n. 祖国
ꁍ ꈬ | Chinese: 1. n. 尾椎骨
ꁍ ꌩ ꄸ ꎳ | Chinese: 1. v. 扫尾；善后
ꁍ ꎼ | Chinese: 1. n. 尾巴
ꁍ ꑗ | Chinese: 1. n. 土地；祖地（文学语）
ꁎ ꅐ | Chinese: 1. v. 出众
ꁎ ꆽ | Chinese: 1. v. 翻；反复
ꁎ ꉔ | Chinese: 1. adj. 灰尘扬起貌
ꁎ ꌎ | Chinese: 1. adj. （脸色）苍白
ꁏ | Chinese: 1. v. (1) 翻开；翻动 (2) 译；翻译 (3) 刮（风） (4) 反对 | 2. adj. 木材变形 | 3. n. 女奴
ꁏ ꃀ | Chinese: 1. n. 陪嫁丫鬟
ꁏ ꆷ | Chinese: 1. v. 推翻
ꁏ ꇔ | Chinese: 1. v. 翻过（山）
ꁏ ꇤ | Chinese: 1. adj. 果断；利索
ꁏ ꍆ | Chinese: 1. v. 指责（对方）（翻旧账的方式）
ꁐ | Chinese: 1. v. (1) （水）溅出 (2) （畜群）惊散 (3) 吐（口水） | 2. cl. 匹（指土布）
ꁑ ꊰ | Chinese: 1. adj. （表皮）痛
ꁑ ꍠ | Chinese: 1. n. 痛（指被竹条等弹击后的感觉）
ꁒ | Chinese: 1. adj. 痛；辣 | 2. v. 训斥
ꁒ ꐀ | Chinese: 1. v. 贬低；贬斥
ꁓ | Chinese: 1. v. 吸烟时把烟吞下，再从鼻孔吐出
ꁓ ꅔ | Chinese: 1. n. 臀部；屁股
ꁓ ꋩ | Chinese: 1. adj. 半截尾巴
ꁓ ꌃ ꐃ ꎱ | Chinese: 1. adj. 衣不遮体
ꁓ ꍹ ꆶ | Chinese: 1. v. （尾椎骨被）击伤
ꁕ | Chinese: 1. cl. 地区；小区；地皮 | 2. v. (1) 折叠（衣服） (2) （牛用支角）挑、抵（人）
ꁔ | Chinese: 1. cl. 地区；小区；地皮 
ꁖ | Chinese: 1. adj. 沙；绵（方）（土豆淀粉多） | 2. v. (1) 出 (2) 响 (3) 皲裂 (4) 暴露 | 3. n. 蹄
ꁖ ꁙ ꌺ | Chinese: 1. v. 规矩点；守规矩（使动）
ꁖ ꄔ | Chinese: 1. n. 磷火
ꁖ ꆔ ꍹ | Chinese: 1. adj. 嫩而软（多指肉食）
ꁖ ꇤ | Chinese: 1. n. 蹄叉
ꁖ ꈌ | Chinese: 1. n. 裂口
ꁖ ꈥ | Chinese: 1. adj. 空；空心
ꁖ ꏯ | Chinese: 1. adj. 瘪子；秕
ꁖ ꐎ | Chinese: 1. n. 栗子
ꁖ ꐪ | Chinese: 1. n. 足迹（专指牲畜）
ꁖ ꒀ | Chinese: 1. n. （一种中草药）
ꁗ ꏒ | Chinese: 1. v. 分散（自动）
ꁘ | Chinese: 1. v. (1) 散开 (2) 蔓延 (3) 洇 (4) （水）分流 | 2. adj. 孬；不好
ꁙ | Chinese: 1. cl. 堆（粪）；泡（尿）；团（火）；盏（灯）；缕（烟）
ꁙ ꂇ | Chinese: 1. v. 虚夸
ꁙ ꆺ ꁙ ꇸ | Chinese: 1. adj. （毛长）摇动状；长而蓬松
ꁜ | Chinese: 1. n. 阴茎；男性生殖器（俗称）
ꁟ ꇉ | Chinese: 1. adj. 凹；洼陷
ꁟ ꏪ | Chinese: 1. adj. 扁平
ꁟ ꑓ | Chinese: 1. n. 坡地（眼）
ꁟ ꑻ | Chinese: 1. adj. 光滑；干净；赤裸
ꁠ | Chinese: 1. v. (1) 携带；捎；带（东西） (2) 背（孩子） (3) 投靠 | 2. adj. 容量大
ꁠ ꄶ ꁠ ꆠ | Chinese: 1. adj. 虚荣；爱打扮
ꁠ ꄻ | Chinese: 1. adj. 唠唠叨叨；爱多嘴
ꁠ ꆈ | Chinese: 1. n. 背后；暗地
ꁠ ꆠ | Chinese: 1. adj. （薄片之类东西）薄
ꁠ ꆤ | Chinese: 1. cl. 口
ꁠ ꌯ | Chinese: 1. adj. 薄（指竹片、肉片等）
ꁠ ꍠ | Chinese: 1. adj. 薄（比
ꁠ ꏦ | Chinese: 1. n. 腮腺炎
ꁠ ꐤ | Chinese: 1. n. 管；筒
ꁡ ꄆ | Chinese: 1. n. 缝隙；之间（两物之间）
ꁡ ꇤ | Chinese: 1. n. 村庄
ꁡ ꈜ | Chinese: 1. n. 大竹筐（常用以盛牛草）
ꁡ ꉐ | Chinese: 1. n. 蟒蛇
ꁡ ꊭ | Chinese: 1. n. 膝盖
ꁡ ꊭ ꃄ ꇴ ꄂ | Chinese: 1. v. 跪
ꁡ ꊭ ꏾ ꇇ ꄻ | Chinese: 1. v. 打盘腿
ꁡ ꋗ | Chinese: 1. n. 花椒
ꁢ ꊧ | Chinese: 1. n. 根源；来源
ꁣ ꀋ ꐥ | Chinese: 1. adv. 顺利
ꁤ ꇅ | Chinese: 1. adj. 光明；光彩；明亮；光亮
ꁤ ꍌ ꆈ ꃚ | Chinese: 1. adj. 络腮胡子
ꁤ ꏤ | Chinese: 1. adj. 伤痕（脸上条状伤痕）
ꁥ | Chinese: 1. v. 附 | 2. adj. 附属 | 3. cl. 群；班；队
ꁥ ꅇ | Chinese: 1. n. 副词
ꁥ ꌺ | Chinese: 1. n. 附属品
ꁦ ꀑ | Chinese: 1. n. 山上；山顶
ꁦ ꄂ | Chinese: 1. adj. 条形
ꁦ ꉘ | Chinese: 1. adj. 爽快；舒畅（沉闷的反面）
ꁦ ꋠ | Chinese: 1. n. (1) （成年）男子；汉子；小伙子 (2) 伙计 (3) 丈夫
ꁦ ꌺ | Chinese: 1. n. 小山
ꁦ ꌾ | Chinese: 1. adj. 毛茸
ꁦ ꎆ | Chinese: 1. v. 增加；发展；增长；提高 | 2. n. 剩余；多余
ꁦ ꎆ ꄀ | Chinese: 1. adj. (1) 添一点 (2) 得寸进尺；过分
ꁦ ꎴ | Chinese: 1. adj. (1) 清洁；干净 (2) 无瑕疵（事物、人、品性等）
ꁦ ꒉ ꇈ ꉬ | Chinese: 1. adj. 雄伟壮丽（指山）
ꁧ | Chinese: 1. v. 去；走 | 2. cl. (1) 份；株；堆（肥料） (2) 棵 | 3. n. (1) 分（几分之几）；倍 (2) 山 (3) 脸蛋 (4) 刮板（打场上用来刮粮食的工具）
ꁦ | Chinese: 1. cl. (1) 份；株；堆（肥料） (2) 棵
ꁧ ꀒ ꇱ ꏢ | Chinese: 1. adj. 耳聋口呆；反应迟钝
ꁧ ꀿ | Chinese: 1. v. 创造
ꁧ ꃚ | Chinese: 1. n. 颧骨
ꁧ ꇉ | Chinese: 1. n. 面颊
ꁧ ꈿ | Chinese: 1. v. 浪费；可惜
ꁧ ꉻ | Chinese: 1. n. 颧骨
ꁧ ꎁ | Chinese: 1. n. 代表
ꁧ ꏢ | Chinese: 1. n. 边儿（筛子等）
ꁧ ꐬ | Chinese: 1. n. 靥酒窝
ꁧ ꑭ | Chinese: 1. n. 山脚
ꁨ | Chinese: 1. v. (1) 有；具有；占有 (2) （日光）照射；发光；发亮 (3) （天阴）亮开 (4) 邀请 | 2. gr. 吧；（不管…）还是… | 3. cl. 间（房间）
ꁨ ꃀ ꁨ ꌺ | Chinese: 1. n. 套间
ꁨ ꅪ | Chinese: 1. adj. 面红（包括鸡鸟之类）
ꁨ ꅿ | Chinese: 1. adj. 臭味
ꁨ ꆹ | Chinese: 1. n. 葫芦
ꁨ ꇉ | Chinese: 1. adj. 明朗；明亮
ꁨ ꇊ ꉢ | Chinese: 1. adj. 惆怅（失去亲人的伤感）
ꁨ ꇐ | Chinese: 1. n. 财产
ꁨ ꊰ | Chinese: 1. n. 脚碓
ꁨ ꌦ | Chinese: 1. n. 小簸箩
ꁨ ꌺ | Chinese: 1. n. 小套间
ꁨ ꍝ | Chinese: 1. n. 天微亮；蒙蒙亮
ꁨ ꏦ | Chinese: 1. n. 所有制
ꁨ ꏸ | Chinese: 1. n. 筲箕；撮箕；粪箕
ꁨ ꐥ | Chinese: 1. adj. 通畅（多指管子內）
ꁨ ꐨ | Chinese: 1. n. （财产）占有状况
ꁨ ꑆ | Chinese: 1. adj. 伤疤（脸上片状伤疤）
ꁨ ꑭ | Chinese: 1. n. （从光源反射过来的）光线
ꁬ | Chinese: 1. adj. 兴旺 | 2. v. (1) （人、畜）繁殖快 (2) 吻 | 3. n. 青草；杂草 | 4. cl. 张（纸）；张（羊皮）；幅（布）；窝（指禽类）；股（绳）；盒（子弹）；封（信）；个（筛子）
ꁬ ꃷ | Chinese: 1. n. 蚂蚁
ꁬ ꄝ | Chinese: 1. n. 草丛
ꁬ ꆰ | Chinese: 1. n. 杂草
ꁬ ꋌ | Chinese: 1. n. 药；中草药
ꁬ ꌺ | Chinese: 1. n. 嫩草
ꁬ ꎶ | Chinese: 1. v. 发展 | 2. adj. 兴旺
ꁬ ꏂ | Chinese: 1. n. 草坪
ꁬ ꏫ | Chinese: 1. n. 草丛（大片）
ꁬ ꏶ | Chinese: 1. v. 亲吻
ꁬ ꑭ | Chinese: 1. n. 绿肥
ꁭ ꁘ | Chinese: 1. v. 分散（自动）
ꁭ ꂪ | Chinese: 1. n. 婆家
ꁭ ꅐ | Chinese: 1. n. 东方
ꁭ ꐞ | Chinese: 1. v. 损失；耗损
ꁭ ꑌ | Chinese: 1. n. 牦牛
ꁮ | Chinese: 1. v. (1) 有（洞；裂纹等） (2) 呈现 (3) 夭折；死 (4) 夭折；牺牲 (5) 松脱（自动） (6) （物质被敌人）缴获；俘虏 (7) 浮 | 2. n. (1) 食物过敏；（过敏）反应 (2) 虫 (3) 蚊虫 (4) 蛔虫 (5) 绵羊（古语）
ꁮ ꀒ ꅪ | Chinese: 1. n. 斑蛰虫；斑蛾
ꁮ ꁞ | Chinese: 1. adj. 性格开朗
ꁮ ꁧ | Chinese: 1. n. 白蜡树
ꁮ ꅉ | Chinese: 1. n. 故事
ꁮ ꅉ ꅺ ꃶ | Chinese: 1. n. 历史传说
ꁮ ꅰ | Chinese: 1. n. 阉羊（文学语）
ꁮ ꆪ | Chinese: 1. n. 月
ꁮ ꆰ ꌺ | Chinese: 1. n. (1) 蛹 (2) 蛆
ꁮ ꇰ ꆼ ꆈ | Chinese: 1. adj. 倔；呆
ꁮ ꈔ | Chinese: 1. n. 淋巴
ꁮ ꈜ ꅍ | Chinese: 1. n. 蚊帐
ꁮ ꉴ ꑤ | Chinese: 1. n. 螃蟹
ꁮ ꋒ ꆰ ꈌ | Chinese: 1. v. (1) 招惹；逗引（蚊蝇等） (2) 招惹
ꁮ ꌧ ꃺ | Chinese: 1. n. 蜣螂；屎壳郎
ꁮ ꌺ | Chinese: 1. n. 蚊子
ꁮ ꏂ | Chinese: 1. n. 蛇
ꁮ ꏒ | Chinese: 1. n. 日晕（围着太阳成环形带彩色）
ꁮ ꏝ ꐙ ꎭ | Chinese: 1. v. 出征；杀敌
ꁮ ꏶ ꅿ | Chinese: 1. n. 黄鼠狼
ꁮ ꐚ | Chinese: 1. n. (1) 西 (2) 敌人
ꁮ ꑋ | Chinese: 1. v. 损失
ꁮ ꑍ ꃀ | Chinese: 1. n. 蜘蛛
ꁮ ꑍ ꃀ ꆹ ꏮ | Chinese: 1. n. 瘰疬（颈部淋巴结核）
ꁮ ꑍ ꃀ ꏹ ꆷ ꌬ | Chinese: 1. n. 萤火虫
ꁮ ꑟ | Chinese: 1. n. 蚕丝；丝线
ꁮ ꑟ ꃘ ꌺ | Chinese: 1. n. 二胡
ꁮ ꑧ ꇇ | Chinese: 1. n. 蟋蟀
ꁯ | Chinese: 1. cl. (1) 户（人家） (2) 张（纸）；幅（布） | 2. v. (1) 羡慕 (2) 欠（债） (3) 挥发 (4) （酒）醒
ꁰ | Chinese: 1. cl. (1) 户（人家） (2) 张（纸）；幅（布） 
ꁯ ꂨ | Chinese: 1. adj. 满满的
ꁯ ꄀ | Chinese: 1. v. 堆尖（使动）
ꁯ ꄂ | Chinese: 1. adj. 堆尖
ꁯ ꄸ | Chinese: 1. n. (1) 虫（长条形） (2) 蠕形动物
ꁯ ꄸ ꁁ ꐑ | Chinese: 1. n. 尺蠖
ꁯ ꄸ ꃬ ꑇ | Chinese: 1. n. 蜈蚣
ꁯ ꄸ ꊖ ꋒ | Chinese: 1. n. 蚯蚓
ꁯ ꄸ ꐒ ꑆ | Chinese: 1. n. 毛毛虫
