above | Yi: n. [ꄩ tot]
come back | Yi: v. [ꀱ bur]
comfort | Yi: v. [ꅰ ꑷ hnat yie], [ꏹ jyp], [ꊂ ꈓ wa kur]
comfortable | Yi: adj. [ꇿ kat], [ꄚ tit], [ꌒ sa]
command | Yi: v. [ꇺ ki], [ꏱ ꇺ jux ki], [ꍝ zhy]
commemorate | Yi: v. [ꎺ ꄅ shut die]
commend | Yi: v. [ꀭ ꄂ bux di], [ꀮ ꄑ bu dex], [ꍗ zhu], [ꍖ ꀴ zhux by]
commerce | Yi: n. [ꃼ ꇇ vy lot]
common | Yi: adj. [ꎃ ꐚ rrop jji]
communicate | Yi: v. [ꐮ ꑌ jjyx nyi], [ꋒ ꌥ zzi syx]
companion | Yi: n. [ꇱ ꐋ gep qop], [ꐋ qop]
compare | Yi: v. [ꎖ nra], [ꏣ jip]
compassion | Yi: v. [ꎭ ꃅ sha mu]
compatible | Yi: adj. [ꂰ mi], [ꅉ dde], [ꄐ dop], [ꐮ ꄮ jjyx te]
compensate | Yi: v. [ꋪ zzyp], [ꊒ zie]
compete | Yi: v. [ꂅ ꈿ nbut mgep], [ꋓ zzip], [ꅒ ndix]
complain | Yi: v. [ꅫ ꏒ hnip re], [ꅑ ꀵ ndit byp]
complete | Yi: adj. [ꃼ ꒆ vy yur], [ꐛ ꒆ jjip yur]
complete | Yi: aux. [ꅐ ddur], [ꌐ sat]
completely | Yi: adv. [ꇤ ga], [ꈁ ꇔ ka lyt]
comply | Yi: v. [ꈴ mga]
concentrate | Yi: v. [ꊢ zut], [ꇵ ꋩ gup zzy]
concern | Yi: v. [ꉈ ꇬ hxi go], [ꇝ gip]
concerning | Yi: n. [ꃆ ꂮ mup mit]
concise | Yi: n. [ꅇ ꌃ ddop nzyt]
condition | Yi: n. [ꂿ ꃅ mo mu], [ꐛ ꐨ jjip jjux], [ꆹ ꐪ li jjup]
conduct | Yi: v. [ꇹ ꄣ kix ta], [ꏱ ꇺ jux ki]
cone | Yi: n. [ꄮ ꌦ te sy]
confident | Yi: adj. [ꀬ but]
confront | Yi: v. [ꊪ zy], [ꊝ zo]
confuse | Yi: v. [ꃸ ꆽ vurx lie]
confused | Yi: adj. [ꁍ pup], [ꃆ ꃶ mup vu]
congeal | Yi: v. [ꄃ ꐛ dip jjip]
congratulate | Yi: [ꀠ ꀋ ꄿ ba ap dda]
conjunction | Yi: n. [ꊛ ꅇ zot ddop]
connect | Yi: v. [ꅑ ndit], [ꊛ zot], [ꐮ ꑌ jjyx nyi]
conscientious | Yi: adj. [ꉌ ꊢ hxie zut], [ꋒ zzi], [ꋦ zzur]
consider | Yi: v. [ꉪ ngop], [ꉪ ꏡ ngop jix]
console | Yi: v. [ꅰ ꑷ hnat yie], [ꏹ jyp]
constitution | Yi: n. [ꏦ ꃀ jie mop]
construct | Yi: v. [ꄺ ꑣ ddiex xie]
consult | Yi: v. [ꋯ nzi], [ꐮ ꇖ jjyx ly], [ꉜ ꉚ hxep hxex]
consume | Yi: v. [ꌬ ssi], [ꃸ ꅐ vurx ddur], [ꃹ vur]
contact | Yi: v. [ꇺ ki], [ꎟ nrut], [ꑌ ꑲ nyi yix]
contain | Yi: v. [ꅓ ndi]
container | Yi: n. [ꊐ ꅍ zip ddu]
contest | Yi: v. [ꂅ nbut], [ꂅ ꑣ nbut xie]
continue | Yi: v. [ꊛ zot], [ꇇ ꄀ lot dit], [ꐪ ꊛ jjup zot]
contract | Yi: v. [ꈬ ꄗ ggu dup], [ꒊ ꄻ yyp ddie]
contribute | Yi: v. [ꅐ ꌞ ddur sut]
control | Yi: v. [ꏲ ju], [ꆼ ꋏ liex cyr]
convention | Yi: n. [ꋊ ꃅ cyt mu], [ꏭ ꏦ jox jie]
converse | Yi: v. [ꅇ ꄜ ddop ti], [ꌧ syp]
convex | Yi: adj. [ꀭ ꉂ bux mgu]
cook | Yi: v. [ꂥ hmu], [ꏬ jot], [ꌤ syt]
cool | Yi: adj. [ꀉ ꈠ ax gguo], [ꈺ ꌋ mgox si]
cooperate | Yi: v. [ꐮ ꇷ jjyx gur]
copper | Yi: n. [ꐯ jjy]
copy | Yi: v. [ꐒ qyt], [ꁎ ꁠ rryp bba]
cord | Yi: n. [ꉙ hxop]
core | Yi: n. [ꈯ ꄜ ggur ti]
corn | Yi: n. [ꀀ ꃆ it mup]
corner | Yi: n. [ꈪ ꇗ ggut lyp], [ꎐ rry], [ꊖ ꃼ za vy]
corpse | Yi: n. [ꂿ mo], [ꂾ ꈠ mox gguo]
correct | Yi: adj. [ꉬ nge], [ꊒ zie], [ꍑ zhet], [ꎃ ꊐ rrop zie]
correct | Yi: v. [ꀠ ꂘ ba hmat]
cotton | Yi: n. [ꌑ ꇌ sax le]
cough | Yi: v. [ꊫ zyp]
could | Yi: [see "can"]
count | Yi: v. [ꃷ vup], [ꊉ wop]
country | Yi: n. [ꁍ ꇩ pup guop], [ꍏ ꇩ Zho guop]
countryside | Yi: n. [ꑘ ꃅ nyop mu]
county | Yi: n. [ꑤ xiep]
couple | Yi: n. [ꑵ ꋬ yiet zzyr], [ꃌ ꒆ myp yur]
courtyard | Yi: n. [ꄇ ꄤ dat tap], [ꐷ ꈭ njie ggup]
cousin | Yi: n. [ꀉ ꁧ ax bbo], [ꀊ ꌱ a ssat], [ꀑ ꆗ o hlit]
cover | Yi: v. [ꃓ fa], [ꄵ tur], [ꉱ hat], [ꊥ zup], [ꇙ lyr]
cow | Yi: n. [ꇌ le], [ꇂ ꁮ lap bbu], [ꆈ ꑌ nuo nyi]
crab | Yi: n. [ꁮ ꉴ bbu hap]
crack | Yi: n. [ꀣ ꈜ buo gga], [ꊭ zyr], [ꋙ ꈜ zzax gga]
crack | Yi: v. [ꊭ zyr], [ꈁ ꀣ ka buo]
craft | Yi: n. [ꇮ get], [ꇔ ꇷ lyt gur]
crafty | Yi: adj. [ꐈ qot], [ꋲ nzie]
crash | Yi: v. [ꀜ ꐡ bie jjuo]
crave | Yi: v. [ꃔ fap], [ꇢ gat]
crawl | Yi: v. [ꈛ ꅤ ggax ndu], [ꈛ ꑀ ggax nju], [ꑛ nyu]
crazy | Yi: v. [ꃶ vu], [ꃵ ꂿ vux mo]
create | Yi: v. [ꁧ ꀿ bbo pat], [ꄻ ddie]
creep | Yi: v. [ꆇ ꅉ nuox dde]
cremation | Yi: n. [ꐖ ꅉ qyrx dde]
cremate | Yi: v. [ꁵ ꁨ bbyp bbop], [ꐗ ꄁ qyr dix]
crevice | Yi: n. [ꀣ ꈜ buo gga], [ꈿ mgep]
cricket | Yi: n. [ꁮ ꑧ bbu xot]
crime | Yi: n. [ꑽ ꃤ yot vi]
crimson | Yi: adj. [ꅩ ꁱ hnix bbur]
crisp | Yi: adj. [ꃃ mut], [ꈳ ꌣ mgax sur], [ꉨ ꏵ ngox jur]
criterion | Yi: n. [ꌐ ꏦ sat jie]
criticize | Yi: v. [ꁍ ꍆ pur zhat], [ꊋ ꈍ ke cyp], [ꊨ ꏈ zyt ra]
crooked | Yi: adj. [ꁁ ꑷ pa yie], [ꆼ ꏪ liex ggut]
crop | Yi: n. [ꇣ ꋦ gax zzur], [ꋚ ꁧ zza bbo]
cross | Yi: v. [ꈴ mga], [ꈥ ggop], [ꈭ ggup]
cross-cousin | Yi: n. [ꀉ ꁧ ꌺ ax bbo sse], [ꀑ ꆗ o hlit]
crow (bird) | Yi: n. [ꀉ ꐚ ax jji]
crow (sound) | Yi: v. [ꃮ vot]
crowd | Yi: n. [ꏃ ꊰ shyp ci]
crowded | Yi: adj. [ꆼ ꑐ liex nyie]
crown | Yi: n. [ꀍ ꂷ uo ma], [ꀒ ꇰ op ge]
crush | Yi: v. [ꆽ ꃴ lie vut], [ꋖ zzie], [ꋧ ꅐ zzyt ddur]
cry | Yi: v. [ꉩ ngo], [ꑳ ꈨ yi ngox]
crystal | Yi: n. [ꇓ ꋤ lur zzup]
cuckoo | Yi: n. [ꂚ hma]
cucumber | Yi: n. [ꌦ ꈌ sy ke]
cultivate | Yi: v. [ꉘ hxo], [ꊨ zyt], [ꇽ kie]
culture | Yi: n. [ꁱ ꀕ bbur w], [ꁱ ꂷ bbur ma]
cunning | Yi: adj. [ꉘ ꐈ hxo qot]
cup | Yi: n. [ꀗ ꊪ bix zy]
cure | Yi: v. [ꍂ ssy]
cured | Yi: adj. [ꐙ ꎴ jjix sho]
curl | Yi: v. [ꈑ ꇙ kup lyr], [ꍕ ꑕ zhut nyot]
current | Yi: n. [ꆳ hly], [ꃅ ꆳ mu hly]
curse | Yi: v. [ꀂ ꂇ nbu], [ꆽ lie], [ꍃ ssyp], [ꏿ qip]
curve | Yi: v. [ꈪ ggut], [ꉧ ngot]
custom | Yi: n. [ꇗ lyp], [ꄹ ddip], [ꋊ ꃅ cyt mu]
cut | Yi: v. [ꁖ bbit], [ꇽ kie], [ꍸ chy], [ꏢ ji], [ꏣ jip]
cute | Yi: adj. [ꉂ ꑟ mgu xi]
dam | Yi: v. [ꇽ kie]
damage | Yi: v. [ꃙ ꄜ fux ti], [ꆺ lip], [ꉮ hit]
damp | Yi: adj. [ꅫ hnip], [ꋒ zzi]
dance | Yi: v. [ꀜ ꆽ bie lie], [ꀛ ꐂ biex qie], [ꑊ nyit]
dare | Yi: v. [ꀬ but]
dark | Yi: adj. [ꆈ ꋧ nuo zzyt], [ꆈ nuo], [ꊏ ꉈ zi nuo]
darling | Yi: n. [ꉥ ꑣ nguox xie]
darn | Yi: v. [ꅋ ꑣ ddut xie], [ꊫ zyp]
daughter | Yi: n. [ꀋ ꃅ ap mu], [ꀋ ꃋ ap my], [ꅪ hni]
daughter-in-law | Yi: n. [ꌱ ꃀ ssat mop], [ꑮ ꃀ xyp mop]
dawn | Yi: n. [ꃅ ꄜ mu ti], [ꃅ ꍛ mu zhyt]
day | Yi: n. [ꑍ nyip], [ꃅ ꑍ mu nyip]
daytime | Yi: n. [ꃅ ꑍ ꃀ mu nyip mop]
dazzle | Yi: v. [ꑓ ꉱ nyuo hat]
dead | Yi: adj. [ꈁ ꂭ ka hmyr]
deaf | Yi: adj. [ꇉ ꁧ lo bbo]
dear | Yi: n. [ꉥ ꑣ nguox xie]
death | Yi: n. [ꌦ sy]
debate | Yi: v. [ꀥ bot]
debt | Yi: n. [ꈣ ꉈ nre ggox]
decay | Yi: v. [ꈔ ggit], [ꀯ ꐛ bup jjip]
deceive | Yi: v. [ꀸ pit], [ꊏ zi]
decide | Yi: v. [ꄐ ꏤ dop jiet], [ꏤ ꄉ jiet da], [ꏥ ꇽ jiex kie], [ꐰ jjyp]
decision | Yi: n. [ꉪ ꄟ ngop tie], [ꉪ ꐪ ngop jjup]
decorate | Yi: v. [ꌧ ꏵ syp jur], [ꈷ mguo]
decoration | Yi: n. [ꁱ ꂷ bbur ma], [ꈷ ꂷ mguo ma]
deep | Yi: adj. [ꀊ ꂥ a hmu], [ꅼ hnut], [ꌤ syt]
deer | Yi: n. [ꊴ cie], [ꐔ qy], [ꊴ ꐷ cie njie]
defeat | Yi: v. [ꈔ ggit]
defecate | Yi: v. [ꐔ qy], [ꊏ zi]
defect | Yi: n. [ꆐ nep]
defend | Yi: v. [ꐏ ꁇ qup pox]
defer | Yi: v. [ꆩ hle]
deficient | Yi: adj. [ꈔ ggit]
definite | Yi: adj. [ꐚ ꀕ jji w]
deflate | Yi: v. [ꒊ ꄻ yyp ddie]
deformed | Yi: adj. [ꄣ ta], [ꊾ ꇠ cox gie]
deity | Yi: n. [ꌋ si]
delay | Yi: v. [ꄉ ꇤ da ga], [ꆩ hle]
deliberate | Yi: v. [ꉪ ꏡ ngop jix]
delicate | Yi: adj. [ꀁ ꆓ ix nu], [ꉥ ꑣ nguox xie]
delicious | Yi: adj. [ꂄ nbop], [ꋚ ꂂ zza nbox], [ꋚ ꑌ zza nyi]
deliver | Yi: v. [ꄀ dit]
demand | Yi: v. [ꋶ nza], [ꄀ ꇗ dit lyp]
demon | Yi: n. [ꌻ ssep], [ꒌ yyr]
denounce | Yi: v. [ꐔ ꏼ qy qit]
dense | Yi: adj. [ꀨ ꇊ bop lop]
deny | Yi: v. [ꃶ ꄙ vu dur]
depart | Yi: v. [ꁧ bbo]
depend | Yi: v. [ꉈ hxi], [ꎴ sho], [ꍞ zhyp]
depressed | Yi: adj. [ꀋ ꄚ ap tit], [ꊂ ꈘ wa ggie]
descend | Yi: v. [ꊰ ci], [ꒉ yy], [ꐛ jjip]
descendants | Yi: n. [ꊂ ꋊ wa cyt], [ꌺ ꇖ sse ly]
design | Yi: n. [ꈜ gga], [ꋍ ꃅ cyp mu]
desire | Yi: v. [ꋯ nzi], [ꌈ nzyr]
desk | Yi: n. [ꁱ ꄜ bbur ti]
despise | Yi: v. [ꇭ gop], [ꍍ zhot], [ꉈ ꍑ hxi zhet]
destination | Yi: n. [ꑞ ꅉ xix dde], [ꊫ ꌐ zyp sat]
destroy | Yi: v. [ꆺ lip], [ꈔ ꋏ ggit cyr]
detain | Yi: v. [ꏦ jie]
determine | Yi: v. [ꏥ ꇽ jiex kie], [ꑮ ꇖ xyp ly]
develop | Yi: v. [ꀻ ꎆ pip rre], [ꁬ ꎶ bbut shet], [ꁦ ꎆ bbox rre]
dew | Yi: n. [ꍑ zhet], [ꍑ ꒉ zhet yy]
dexterous | Yi: adj. [ꅖ ndie], [ꇇ ꀺ lot pi], [ꌇ ꄧ nzyrx tuo]
dialect | Yi: n. [ꐭ ꉙ jjyt hxop]
diarrhea | Yi: v. [ꀃ ꃀ ꃚ ip mop fu], [ꀜ bie], [ꎿ shur], [ꒇ yyt]
dictionary | Yi: [implied by title, not as entry]
die | Yi: v. [ꁮ bbu], [ꀈ ꃀ at mop], [ꌦ sy], [ꃀ ꐚ mop jji]
difference | Yi: n. [ꍣ ꅍ cha ddu], [ꊫ ꂫ zyp hmyp]
difficult | Yi: adj. [ꄿ ꇨ dda guo], [ꇨ guo], [ꊋ we], [ꋠ ꋠ zze we]
dig | Yi: v. [ꃅ ꊨ mu zyt], [ꅤ ndu], [ꇓ lur], [ꇵ gup]
diligent | Yi: adj. [ꈪ ꑌ ggut nyi], [ꎔ ꃅ nrat mu]
dim | Yi: adj. [ꆈ ꋧ nuo zzyt]
dimple | Yi: n. [ꁧ ꐬ bbo jjur]
dip | Yi: v. [ꍀ ssyt], [ꄝ tip]
direct | Yi: v. [ꇹ ꄣ kix ta], [ꄐ ꌐ dop sat], [ꏂ shyp]
direction | Yi: n. [ꀂ ꏽ i qix], [ꃅ ꍜ mu zhyx], [ꃱ vop]
directly | Yi: adv. [ꎂ rro], [ꍚ zhur]
dirt | Yi: n. [ꊖ ꐔ za qy], [ꈑ ꋍ kup cyp]
dirty | Yi: adj. [ꁧ ꀋ ꎴ bbo ap sho], [ꏝ ryp]
disappear | Yi: v. [ꑍ nyip]
disappoint | Yi: v. [ꇢ ꏿ gat qip]
discard | Yi: v. [ꊐ zip], [ꁻ ꃬ nbie va]
disciple | Yi: n. [ꇮ ꌺ get sse]
disclose | Yi: v. [ꀖ ꍰ bit chep]
discover | Yi: v. [ꌋ si], [ꌋ ꅜ si ndox]
discuss | Yi: v. [ꇖ ly], [ꇕ ꄟ lyx tie], [ꋯ nzi], [ꍣ cha]
disease | Yi: n. [ꆅ na]
dish | Yi: n. [ꊐ ꅍ zip ddu]
disheveled | Yi: adj. [ꀒ ꇸ op kit]
dislike | Yi: v. [ꇭ gop]
dislocate | Yi: v. [ꊨ ꆜ zyt hlie], [ꊨ ꏍ zyt rot]
disorder | Yi: v. [ꃸ ꆽ vurx lie], [ꐅ ꀘ quox bi]
dispatch | Yi: v. [ꁆ pot], [ꊪ zy]
disperse | Yi: v. [ꀻ ꏒ pip re], [ꁗ ꏒ bbix re], [ꇔ lyt]
display | Yi: v. [ꊋ ꋊ we cyt]
dispute | Yi: n. [ꃣ ꈌ vix ke], [ꃆ ꑘ mup nyop]
dissect | Yi: v. [ꀺ pi]
dissipate | Yi: v. [ꐰ jjyp]
dissolve | Yi: v. [ꐯ jjy], [ꏸ jy]
distance | Yi: n. [ꈜ gga], [ꇢ gat], [ꆏ ꈉ ne kop]
distant | Yi: adj. [ꎴ sho]
distinguish | Yi: v. [ꊨ ꄅ zyt die]
distribute | Yi: v. [ꁸ nbi], [ꄤ tap], [ꏿ qip]
district | Yi: n. [ꁕ pyr], [ꃅ ꄷ mu ddix]
ditch | Yi: n. [ꒉ ꈜ yyx gga], [ꄹ ꇭ ddip gop]
divide | Yi: v. [ꁸ nbi], [ꄤ tap], [ꏡ ꃏ jix fi]
divine | Yi: v. [ꈎ ꌋ kut si]
divorce | Yi: v. [ꃜ ꇔ furx lyt], [ꏥ ꇽ jiex kie]
dizzy | Yi: adj. [ꀑ ꃀ o mop], [ꀑ ꃶ o vu], [ꈭ ꃰ ggup vo]
do | Yi: v. [ꃅ mu], [ꄻ ddie], [ꀞ bat], [ꎼ shu]
dodge | Yi: v. [ꂁ ꍃ nbot ssyp]
dog | Yi: n. [ꈌ ke]
domestic | Yi: adj. [ꑌ nyi]
door | Yi: n. [ꀃ ꈈ ip ko]
dot | Yi: n. [ꊮ ꌺ cit sse]
doubt | Yi: v. [ꉌ ꀋ ꒊ hxie ap yyp], [ꉪ ꄅ ngop die]
dove | Yi: n. [ꄤ ꆳ tap hly]
down | Yi: adv. [ꀁ ꋌ ix cy], [ꅉ ꃴ dde vut]
downward | Yi: adv. [ꀁ ꋌ ix cy]
draft | Yi: n. [ꐻ ꉘ njot hxo]
drag | Yi: v. [ꈻ mgo], [ꎑ rryp]
dragon | Yi: n. [ꇐ lu]
dragonfly | Yi: n. [ꊴ cie]
draw | Yi: v. [ꄝ tip], [ꑴ yip]
dream | Yi: n. [ꀀ ꂼ it muop]
dream | Yi: v. [ꂻ muo]
dregs | Yi: n. [ꁉ ꍰ pop chep]
drench | Yi: v. [ꋖ zzie], [ꒈ ꊭ yyx zyr]
dress | Yi: v. [ꇢ gat], [ꄺ ꂡ ddiex hmo], [ꏦ ꄻ jie ddie]
dress up | Yi: v. [ꄻ ꎭ ddie sha], [ꋶ ꄻ nza ddie]
dried | Yi: adj. [ꆵ ꅐ hlyrx ddur]
drift | Yi: v. [ꄁ ꃰ dix vo]
drill | Yi: v. [ꂇ nbu], [ꄵ tur], [ꇓ lur]
drink | Yi: v. [ꅝ ndo], [ꄎ dox], [ꎵ shop]
drip | Yi: v. [ꋒ zzi]
drive | Yi: v. [ꅸ hnop], [ꈎ kut], [ꈹ mgot], [ꇽ kie]
drizzle | Yi: n. [ꉐ ꌦ hxa sy]
drool | Yi: v. [ꀃ ꒉ ip yy]
drop | Yi: v. [ꊰ ci], [ꍃ ssyp], [ꆘ ꅝ hlix ndo]
drop-off | Yi: n. [ꆻ liet], [ꇱ ꆷ gep lit]
drown | Yi: v. [ꒈ ꈁ yyx ka]
drum | Yi: n. [ꇬ ꋒ go zzi]
drunk | Yi: adj. [ꋩ zzy], [ꑱ yit], [ꎧ ꑱ nry yit]
dry | Yi: adj. [ꀊ ꃶ a vu], [ꃃ mut], [ꈘ fut], [ꃶ vu]
dry up | Yi: v. [ꌤ syt]
duck | Yi: n. [ꀆ ie], [ꒈ ꀆ yyx ie]
due | Yi: v. [ꄡ ꑟ tat xi]
dull | Yi: adj. [ꂿ ꆹ mo li], [ꆈ ꋧ nuo zzyt]
dumb | Yi: adj. [ꇰ ge]
dumbfounded | Yi: v. [ꅺ ꃗ hne fop]
dump | Yi: v. [ꊐ zip]
dumpling | Yi: n. [ꑗ ꆺ nyo lip]
dung | Yi: n. [ꁍ ꃷ pup vup]
durable | Yi: adj. [ꀱ bur], [ꈈ ko]
dusk | Yi: n. [ꁯ ꋒ bbup zzi], [ꃅ ꃤ mu vi]
dust | Yi: n. [ꁉ ꍰ pop chep], [ꂥ ꈺ hmu mgox], [ꈑ ꋍ kup cyp]
dusty | Yi: adj. [ꁎ ꉔ purx hxuo]
duty | Yi: n. [ꅑ ꁧ ndit bbo]
dwell | Yi: v. [ꀀ it], [ꋦ zzur]
dwelling | Yi: n. [ꀀ ꁍ it pup]
dye | Yi: n. [ꄀ dit], [ꁈ po]
dye | Yi: v. [ꉙ hxop]
dysentery | Yi: n. [ꃺ ꒌ vyt yyr]
each | Yi: gr. [ꐮ jjyx], [ꐯ jjy]
each other | Yi: gr. [ꐮ jjyx], [ꐯ jjy]
eagle | Yi: n. [ꄀ dit], [ꏬ jot], [ꆫ ꃅ hlut mu]
ear | Yi: n. [ꅳ hnap], [ꅻ hnep]
early | Yi: adv. [ꏜ ry]
earnest | Yi: adj. [ꉌ ꊢ hxie zut], [ꎔ ꎗ nrat nrap]
earring | Yi: n. [ꃀ ꆏ mop ne], [ꁯ ꇲ bbup gut], [ꅻ ꊪ hnep zy]
earth | Yi: n. [ꃄ ꅉ mux dde], [ꊖ za]
earthen jar | Yi: n. [ꄣ ta], [ꄤ ꃀ tap mop]
earthquake | Yi: v. [ꃄ ꇙ mux lyr]
earthworm | Yi: n. [ꁯ ꄸ bbup ddi], [ꊖ ꋠ za zze]
east | Yi: n. [ꁭ ꅐ bbux ddur], [ꈧ ꅐ ggex ddur]
easy | Yi: adj. [ꈝ ꐮ ggap jjyx], [ꉐ ꁁ hxa pa]
eat | Yi: v. [ꋠ zze]
ebb | Yi: v. [ꌤ syt]
eccentric | Yi: adj. [ꇂ ꈪ lap ggut], [ꌊ ꀜ six bie], [ꈪ ꏂ ggut shy]
echo | Yi: v. [ꁉ ꁦ lo bbox], [ꉼ hop]
economy | Yi: n. [ꎆ ꏣ rre jip]
edge | Yi: n. [ꂱ ꇇ mip lot], [ꆹ ꏮ li jo], [ꋮ nzix], [ꋴ nzat]
educate | Yi: v. [ꀠ ꂘ ba hmat], [ꅇ ꑴ ddop yip]
education | Yi: n. [ꁱ ꂷ bbur ma]
effect | Yi: n. [ꆐ nep]
effective | Yi: adj. [ꇿ kat], [ꇿ ꋌ kat cy], [ꋍ ꈯ cyp ggur]
effort | Yi: n. [ꇷ ꇤ gur ga], [ꊋ ꇤ we ga]
egg | Yi: n. [ꏿ qip]
eggplant | Yi: n. [ꀉ ꑐ ꈿ ꊪ ax nyie mgep zy], [ꈿ ꊪ mgep zy]
eight | Yi: num. [ꉆ hxit]
eighteen | Yi: [ꊯ ꉆ cix hxit - based on pattern]
either | Yi: conj. [ꀉ ꉙ ax hxop], [ꅀ ddap]
elder | Yi: n. [ꌠ ꏜ su ry], [ꌟ ꒉ sux yy]
elderly | Yi: adj. [ꃀ ꌠ mop su]
elegant | Yi: adj. [ꀺ pi], [ꂮ mit], [ꈌ ꀺ ke pi]
elephant | Yi: n. [ꆺ lip]
eleven | Yi: num. [ꊯ ꊪ cix zy]
eliminate | Yi: v. [ꀜ ꋊ bie cyt], [ꑂ ꑣ njurx xie]
elope | Yi: v. [ꍯ che]
eloquence | Yi: n. [ꉉ ꈌ hxip ke]
embarrass | Yi: v. [ꀠ ꀋ ꄿ ba ap dda], [ꈧ ꊰ ggex ci]
embarrassed | Yi: adj. [ꉈ ꏠ hxi jit]
embrace | Yi: v. [ꁬ ꏶ bbut jyt]
embroider | Yi: v. [ꈷ mguo], [ꍆ zhat], [ꌧ ꏵ syp jur]
emerge | Yi: v. [ꁮ bbu], [ꁖ bbit]
emissary | Yi: n. [ꊩ ꌺ zyx sse]
emperor | Yi: n. [ꃰ ꃅ vo mu], [ꆀ ꑴ nip yip]
employ | Yi: v. [ꇲ gut], [ꊙ zuo]
empty | Yi: adj. [ꀈ ꈥ at ggop], [ꁖ ꈥ bbit ggop], [ꈥ ggop]
enclose | Yi: v. [ꊙ zuo], [ꃱ vop]
encounter | Yi: v. [ꋒ zzi], [ꐮ ꋒ jjyx zzi]
encourage | Yi: v. [ꈐ ꊎ ku zix], [ꊋ ꊐ we zip], [ꊂ ꈓ wa kur], [ꌒ ꌋ sa zix]
end | Yi: n. [ꁍ pup], [ꀈ ꂫ at hmyp], [ꂫ hmyp], [ꌐ ꂫ sat hmyp]
end | Yi: v. [ꅇ ꂫ ddop hmyp]
endearing | Yi: adj. [ꉂ ꑟ mgu xi]
endure | Yi: v. [ꋰ nzip]
enemy | Yi: n. [ꁮ ꐚ bbu jji], [ꐚ jji]
energetic | Yi: adj. [ꊋ ꁥ we bbot]
energy | Yi: n. [ꒉ ꄿ yy dda], [ꊋ ꑌ we nyi]
engage | Yi: v. [ꊙ zuo], [ꃝ fur]
engrave | Yi: v. [ꋖ zzie]
enjoy | Yi: v. [ꉌ ꃹ hxie vur], [ꏚ ryt]
enough | Yi: aux. [ꇎ lut], [ꂪ hmy]
enquire | Yi: v. [ꅲ hna]
enrage | Yi: v. [ꅏ ꁒ ddurx py]
enter | Yi: v. [ꃹ vur], [ꊐ zip]
entertain | Yi: v. [ꌵ ssot], [ꆦ hlo]
entreat | Yi: v. [ꑗ ꇖ nyo ly]
entrust | Yi: v. [ꏮ ꄀ jo dit]
enumerate | Yi: v. [ꃷ vup]
environment | Yi: n. [ꀀ ꈉ it kop]
envy | Yi: v. [ꁯ bbup], [ꉈ ꈻ hxi mgo]
equal | Yi: adj. [ꆌ no], [ꄅ ꀕ die w], [ꐮ ꒈ jjyx yyx], [ꐯ ꏡ jjy jix]
equipment | Yi: n. [ꉁ ꈾ mgux mge]
era | Yi: cl. [ꋊ cyt]
erect | Yi: adj. [ꐧ ꆽ jjut lie], [ꄘ ꑐ durx nyie]
erhu | Yi: n. [ꁮ ꑟ ꃘ bbu xi fut]
erode | Yi: v. [ꄅ ꁨ die bbop], [ꒊ ꄻ yyp ddie]
err | Yi: v. [ꅑ ndit]
error | Yi: n. [ꑽ ꐪ yot jjup], [ꅑ ꐪ ndit jjup]
escape | Yi: v. [ꁈ po], [ꆶ hlyr], [ꐵ njiet], [ꈭ ꅐ ggup ddur]
escort | Yi: v. [ꎭ sha], [ꏃ shyp]
especially | Yi: adv. [ꈜ ꀕ gga w]
esophagus | Yi: n. [ꆹ ꑋ li nyix]
establish | Yi: v. [ꄻ ꐛ ddie jjip]
estimate | Yi: v. [ꄤ tap], [ꄉ ꏽ da qix]
ethnic group | Yi: n. [ꊿ ꋅ co cux]
evaluate | Yi: v. [ꇜ gi], [ꈼ ꍣ mgop cha], [ꑖ ꉬ nyox nge]
evaporate | Yi: v. [ꁯ bbup], [ꌤ syt]
eve | Yi: n. [ꀒ ꄸ op ddi], [ꊁ ꄹ wax ddip]
even | Yi: adv. [ꂯ mix], [ꈜ ꀕ gga w]
even (number) | Yi: adj. [ꀑ ꊝ o zo]
evening | Yi: n. [ꁯ ꋒ bbup zzi], [ꃅ ꈊ mu ket]
event | Yi: cl. [ꇚ git], [ꐘ jjit]
every | Yi: adv. [ꃅ mu], [ꑌ nyi], [ꋑ ꀋ zzix ap]
everybody | Yi: pron. [ꅉ ꁮ dde bbu], [ꄉ ꉻ da ho]
everyone | Yi: pron. [ꅉ ꁮ dde bbu]
everything | Yi: pron. [ꑡ ꑡ xiet xiet]
everywhere | Yi: pron. [ꏩ ꏪ juox juo]
evidence | Yi: n. [ꊫ ꄲ zyp tu], [ꊫ ꌐ zyp sat]
evil | Yi: adj. [ꇨ guo], [ꈛ ꆈ ggax nuo]
ewe | Yi: n. [ꒀ ꃀ yop mop]
exact | Yi: adj. [ꄧ ꀕ tuo w]
exaggerate | Yi: v. [ꋉ ꂡ fux cur], [ꃼ ꄀ vy dit], [ꍓ zhe]
examine | Yi: v. [ꇗ lyp]
example | Yi: n. [ꃷ ꋪ vup zzyp]
exceed | Yi: v. [ꎖ nra], [ꎆ rre], [ꎙ nro]
excel | Yi: v. [ꉔ hxuo]
excellent | Yi: adj. [ꄞ ꅐ tiex ddur]
except | Yi: prep. [ꉇ ꄉ hxix da], [ꈍ ꉈ kep hxi]
